id,customer_message,support_reply,intent,should_escalate,difficulty,annotation_notes
2016383,@115858 so y’all just not gone fix the phones huh? Like wassup g I’m tired,@596284 We're happy to help. Let us know in DM what's happening with your device &amp; what model you have. We'll meet you there. https://t.co/GDrqU22YpT,,,,
938180,@AppleSupport Watch Series 2 iPhone 6s,@208637 Do you notice this lack of information on both devices or do they appear out of sync? Meet us in DM and we'll continiue. https://t.co/GDrqU22YpT,,,,
2310366,"@AppleSupport so my iPhone wont connect to iTunes on my laptop, what should I do ?",@670060 Let's help you get this sorted out. Are you using iTunes on a Mac or Windows PC? DM us the response here: https://t.co/GDrqU22YpT,,,,
2041057,@AppleSupport what the actual F is going on with my phone and the stupid changes,@511426 Thanks for contacting us. Let's get these issues figured out. Please send us a DM and let us know what's going on. https://t.co/GDrqU22YpT,,,,
2010695,@AppleSupport IM GOING CRAZY PLS EVERY TIME I️ TYPE I ITS A BOX AND QUESTION MARK,@594574 Hi there! This should help you out: https://t.co/xU1AGHStV6 Let us know in a DM if those steps helped out. https://t.co/GDrqU22YpT,,,,
598074,My dad gave me his iwatch when he got a new one and now it says that it the charger isn’t compatable. Seriously... @115858 the watch worked a week ago and now it won’t even charge... perfectly good iwatch now unusable😠😕,@261779 We want you to have a watch that you can use. Let's take a closer look into what's going on with it. Let us know in DM if you are using the charger that came with the Apple Watch. https://t.co/GDrqU22YpT,,,,
1701948,"Yo @115858, fix this I️",@516020 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,,,,
1386708,Fuck this @115858 I’m tired of this I️,@442670 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
2013378,What the fucc is up with your keyboard?! @AppleSupport why do my i’s turn to that I️,@595342 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,,,,
486182,"@AppleSupport iPhone 6s Plus on iOS 11.1.2 - 2 left thumbs and 3 right thumbs. The left thumb works fine, I noticed my right wasn’t so I made new ones and it rarely ever works and I have to use my left thumb which is inconvenient",@230668 Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,,,,
659448,@AppleSupport this keeps popping up on my safari page. Please help. https://t.co/vMiIs7TFEr,@169962 Thanks for reaching out. This would be a pop-up; Take a look at the steps here to address it: https://t.co/qr0pQfKgYD Send us a DM if you have any further questions. https://t.co/GDrqU22YpT,,,,
14865,@AppleSupport I’ve tried to do the upgrade program online and can’t. t-mobile as a carrier and no apple store closer then 3hours away. Help,@117235 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,,,,
2072197,"@AppleSupport iOS 11 the worst iOS so far, lots of problems with, touch ID doesn’t work, really slow, glitchy, Siri doesn’t work fine...",@612886 We're happy to work with you to sort out these issues. Please DM us which iOS 11 version you have installed to get started. https://t.co/GDrqU22YpT,,,,
885683,"@AppleSupport ...support was very polite, and very understanding, and very apologetic but not helpful - and that is the ultimate goal of support isn't it?",@330307 Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot. https://t.co/GDrqU22YpT,,,,
1628879,@AppleSupport I️ think you guys messed up. I️ think u should fix it. I️ think this is lame.,@498622 We're glad you reached out. Let's try this first: https://t.co/xU1AGHStV6,,,,
1646706,"@AppleSupport help pls! My ios11 update always fails, and I can't update thru iTunes bc MacBook won't update to newest version of iTunes",@503141 We'd love to help in any way we can. Which device are you trying to update? Let us know if this helps: https://t.co/Ui1yTnOCUz,,,,
1087776,"@AppleSupport hello, why do I continue to get asked to update payment info, it continues to not take it and won’t let my apps update",@376599 We'd love to help out. Could you Direct Message us so we can get more information? https://t.co/GDrqU22YpT,,,,
2437317,"@699174 @AppleSupport @62155 This is exactly what I've been trying to do with a long press on my iPhone 6 when I switched to iOS 11, but yeah never worked :/",@524854 We’ll work through this together. Are you unable to use 3D Touch in iOS 11 for all apps and features or just in Control Center?,,,,
552195,Problems with #iPhone #iOS11 #automaticreset #iosupdate any help? @115858,@248735 We'd love to help. DM us what iOS version you're on.,,,,
2036535,@115858 I just bought a new phone 3 months ago and it is already not working after this new update and I️’m pissed.,"@602113 Hey, we want to learn more about what's going on with your new iPhone. DM us the details and we'll go from there. https://t.co/GDrqU22YpT",,,,
1591456,@AppleSupport is there any way to remove photos from my iPhone without deleting them from iCloud entirely?,"@348202 Hey there, we can help. Let's get to DM for more info. https://t.co/GDrqU22YpT",,,,
919199,@AppleSupport Are you aware of people getting spam calls from your number? I was getting calls/VM every 10 min until I blocked the number,@338209 We'd like to look into this with you. Could you Direct Message us so we can get more information? https://t.co/GDrqU22YpT,,,,
850364,Why won't my phone attach pics in texts @115858 ? Is there a setting issue?,@167615 Sharing pictures in Messages is a great feature! Are you using this method to send photos? https://t.co/VQgxnBd85X,,,,
1706157,Everything on my phone is currently going wrong. Thanks @115858,@517096 What's going on with your iPhone? DM us the details and we'll work with you towards a solution. https://t.co/GDrqU22YpT,,,,
2565744,"@AppleSupport Yes I’m running 11.1.1 and so far it is definitely iMessage, and some notifications as well. I’m not sure about text messages","@727904 OK, thanks for clarifying this for us. Have you restarted your iPhone since you noticed this happening? Let us know if this makes a difference.",,,,
1659174,Can you explain @AppleSupport https://t.co/F4L6zbgKzu,@506215 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
825892,"@AppleSupport I have an iPhone 7, btw.",@316701 Thank you for those additional details. Let's continue in DM and we'll help out. https://t.co/GDrqU22YpT,,,,
541012,@AppleSupport Guess what it’s not released in India and at this point we have no hopes either.,@435776 It's been some time since you reached out. Were you able to update since posting this message?,,,,
1001130,"@AppleSupport my iPhone 7 Plus doesn’t work properly with 11.0.3 😡😡. The speaker doesn’t work on calls, is non responsive &amp; screen locks!!",@357010 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,,,,
333649,@AppleSupport ok thank you!,"@195490 We're always happy to help! Feel free to reach out if you have any future questions, or concerns!",,,,
265041,@AppleSupport Yes it will just stop working and I have to use 4g. I’ve reset my network settings and reconnected to the WiFi but it still does it,"@179141 Thanks for the information. Does this happen with only one Wi-Fi network, or multiple networks?",,,,
1803255,Hey @115858 get your shit together &amp; fix this bug on iOS 11 that won’t let me control music via Bluetooth— I almost died driving to work b4.,@202419 Controlling your music from your car is an important feature. Please shoot us a DM so we can get this sorted. https://t.co/GDrqU22YpT,,,,
2899023,@AppleSupport how come I need to enter my card information when I’m updating apps and it’s all free? Then when I enter my card information it says not enough funds TO UPDATE FREE APPS #wtf,@701768 We can help you get this sorted out. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT,,,,
2376079,"still not getting 95% of notifications from text, twitter and snap 💞 tysm @AppleSupport https://t.co/hyGebsuD0C",@685353 Let's take things to DM from here to take a closer look into this. https://t.co/GDrqU22YpT,,,,
1926708,@115858 my phone has been absolute TRASH since the new update. My battery dies extremely quickly and my phone freezes all the time now😡😡😡😡😡😡,@573400 We'd like to help get your iPhone operating as expected. Please meet up with us in DM and we can get started. https://t.co/GDrqU22YpT,,,,
2277324,Fix this shit now ! #angryiphoneuser @115858 @AppleSupport https://t.co/hEwqOIBrd8,"@662273 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",,,,
1517847,@AppleSupport I updated carrier settings and now my phone doesn’t have service!,"@352053 We’ll do everything we can to help. To clarify, do you see no service or searching in the menu bar?",,,,
1983730,"@AppleSupport Seeing this bizarre autocorrect problem since update to iOS 11. Phone keeps trying to replace lower case ""i"" with gibberish... https://t.co/KlsO6Ouew7",@587178 We'll be happy to take a look. Send us a DM with your iPhone model and iOS version from Settings &gt; General &gt; About to begin. https://t.co/GDrqU22YpT,,,,
401646,"Well, it finally happened. This iPod stopped working. Now what do I do with it? @115858 @115948 #iPodClickWheel… https://t.co/2hwXyhNn3S https://t.co/tAGDgLuYrJ",@210977 We'd like to help with your iPod. Take a look at this article for help with this issue: https://t.co/loEOLWaoZi,,,,
2858339,Ever since I updated my phone it’s been lagging &amp; fuckin up😡😡 @AppleSupport,@794348 We'd love to look at what's going on with you. Can you tell us where you're seeing the slowness? In certain apps? Please meet up with us in DM and we can continue there. https://t.co/GDrqU22YpT,,,,
2616581,@AppleSupport iOS 11.1 (15B93),"@193516 We recently released iOS 11.1.2, We'd recommend backing up and updating to that, then let us know if the issue continues. This is a great article if you need help updating: https://t.co/80YRnjDFDk",,,,
538729,@AppleSupport It’s solved with the update to iOS 11.2 ! thanks tho.,@244906 We're glad to hear it. Feel free to reach out with any other questions.,,,,
1108092,@AppleSupport is this real or not? Scared that someone could’ve hacked my account. https://t.co/Hrsxdr2M8k,@381531 No worries. Join us in DM so we can help get this sorted out: https://t.co/GDrqU22YpT,,,,
1266524,@AppleSupport are there limitations on the number of iPhone X devices to preorder per customer?,@416547 Thanks for reaching out! Our Online Store Support team can help out. DM us if you need more help. https://t.co/8yjRd1Xo0i https://t.co/GDrqU22YpT,,,,
2747254,then this dumbass shit got my phone wiggin @115858 how tf the update 33mb but need 512mb worth of space,@769275 We'd like to look into this with you. DM us which iPhone and iOS version you have and we'll go from there: https://t.co/GDrqU22YpT,,,,
1634570,@AppleSupport why isn’t my bank card working on my #AppStore ? 😩😡 #help #Applesupport,@500023 We're happy to help. Take a look here: https://t.co/LGiyy7sjW4 DM us if you're still having an issue. https://t.co/GDrqU22YpT,,,,
388902,"@AppleSupport hi I'm looking at a new mac laptop, wondering between the 3.3 ghz model and 3.5, what's the difference ?",@208022 We'd recommend reaching out to our experts here: https://t.co/8yjRd1Xo0i for further purchase related questions.,,,,
2978649,I just upgraded my iphone 7 to iOS 11.1.1 and I’m having lots of problems... it’s much slower and some apps are not working well. @115858,@821494 We know how important it is to have your iPhone running as smoothly as possible. We'd like to start our troubleshooting by having you backup the device: https://t.co/tHicJHB57O Then look to update the iOS software. Please send a DM we can be of any further assistance. https://t.co/GDrqU22YpT,,,,
2560448,"@AppleSupport my iPhone 7 (only 4 weeks old) has been unresponsive all morning and stuck on the white apple startup screen. I made a Genius Bar appointment for tomorrow afternoon, but if I walk in today, would someone be able to help me? I can't use my phone at all like this.","@593907 We're here to help. This is certainly not the experience we want for our customers. Let's start by taking a look at the steps in this article: https://t.co/8MvHMFZ83h The relevant section is ""If your device turns on but gets stuck during start up"" Keep us posted.",,,,
441084,@AppleSupport This still hasn’t resolved my battery life .@AppleSupport I’m not even using my iPhone and battery drains!,@219646 Let's take a more in-depth look at what's using the battery. Check out this article: https://t.co/8L66CCzpK6 DM us more info. https://t.co/GDrqU22YpT,,,,
150035,"I am officially off of the @115858 bandwagon. I had to have my iPhone 7 Plus replaced under warranty about two months ago, and now my replacement (new) device has two issues.",@150209 We know how important it is to be able to adjust the volume and charge your iPhone. We want to help. Send us a DM letting us know which country you are located in to get started. https://t.co/GDrqU22YpT,,,,
1776293,@AppleSupport @115858 Ummmm I’m really confused and it’s getting really annoying so what’s going on in the apple core???? https://t.co/jU01jidKYs,@533783 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
1086812,@AppleSupport Trying to pre-register for the iPhone X? Nothing is showing up for me. Help? Thanks!,"@376357 Our Online Sales Support would be best suited to assist you, you can reach them here: https://t.co/K0222CJgiB",,,,
428674,@AppleSupport Same thing for iOS11 for Link https://t.co/sronqmIlO5,@216956 Do you happen to have any popup blockers installed? Let us know via DM. https://t.co/GDrqU22YpT,,,,
1928536,@AppleSupport low blow apple ... after this last update my battery on my 6 plus and me are at war #forcetheupgrade,"@573918 Hi Josh! We know how important your battery life is. So we can look into this, DM us which version of iOS 11 you're using. https://t.co/GDrqU22YpT",,,,
887872,@AppleSupport iMessages wouldn’t send but I could messages as a text,"@330822 Got it, thanks for clearing that up. Are you still experiencing this issue currently?",,,,
2056273,Also want to thank the new @115858 update for unsubscribing me from my podcasts. That’s fun.,@608120 We'd love to help. Have you been able to resubscribe to your Podcasts? DM us if you have any trouble and we'll work together. https://t.co/GDrqU2kzhr,,,,
430156,@AppleSupport As soon as I updated my iPhone to the current IOS,@217279 By current iOS do you mean 11.0.2? And what device is it running on? Let us know in DM. https://t.co/GDrqU22YpT,,,,
556106,"@AppleSupport @AppleSupport Yes, have restarted my phone couple of time. Thanks you for your help and support at this hour. 👍🏼",@249905 OK great. Next we can look further in to this issue. Send us a DM to continue. https://t.co/GDrqU22YpT,,,,
2280559,Apple needs to do something about this glitch.. I’m tired of seeing question marks!!! @AppleSupport,"@662951 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",,,,
187954,IOS 11 has my location constantly on. No longer able to have just while using maps #annoying #batterykiller @AppleSupport,@160105 Let's have a closer look at this. Please DM us. https://t.co/GDrqU22YpT,,,,
936155,@AppleSupport I did that but that still happens when I call,"@341940 Does restarting your device help? If not, meet us in DM and we'll go from there. https://t.co/GDrqU22YpT",,,,
542447,@AppleSupport @115858 my ios 11.1.2 is force restarting to home screen every 1 minute! How to fix? Pls,"@245902 We'd love to help! When you say it's force restarting to your Home Screen, do you mean that your iPhone itself is restarting, or that an app you're using is quitting to the Home Screen? Send us a DM. https://t.co/GDrqU2kzhr",,,,
2083374,my phone has lost 15% in only 5 minutes @115858 what the fuck is going on,@616156 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,,,,
1538082,@AppleSupport My Iphone pretty much bricked itself. Got anything to say?,@476817 We're happy to help. Can you give us some details? IPhone model? iOS version?,,,,
2171624,Hi @AppleSupport since the latest update my iPhone 6s is lagging way too much is it your strategy to entice us to switch to new iPhones?,"@636919 Thanks for reaching out. We'd like to help. Please send us a DM with your current iOS version, and we'll get started. https://t.co/GDrqU22YpT",,,,
1991098,@589274 @115858 help us!! What’s happening with this!!! https://t.co/8OSPZcCrkf,"@589273 We're here to help! Send us a DM telling us which iPhone you're using and the iOS it's running, so we can begin. https://t.co/GDrqU22YpT",,,,
294900,@AppleSupport I was like planning to pre-order iphone-X but these issues are making me re-think over my decision,@186228 The Bluetooth and Wi-Fi behavior is expected. You can read more at this link: https://t.co/G7BHuQnDS6,,,,
2145666,Hey @115858 anyone wanna fix this I️ bug ? https://t.co/xREOb4no9Y,@630780 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,,,,
1618271,ii gotta add two ii’s to avoid that dumb ass question mark and letter A. @115858 what’s up with that?,@496166 We are aware of this issue and are working hard to find a resolution. We do have a workaround: https://t.co/xXaXeeSRt9,,,,
566783,@26192 @115858 Feel bamboozled update has my phone all sorts of messed up,"@252883 Hi there! Which iOS version are you running, and what's going on exactly? We'd be happy to help you out!",,,,
1391956,Ever since I updated my phone it’s been acting up &amp; it’s literally getting me annoyed @115858,@443748 We'd like to help. What seems to be the issue you're experiencing with your iPhone?,,,,
453920,@AppleSupport On safe mode it happens the same for a moment and then the icons load. https://t.co/qt6seDCMTJ,@222722 Is there anything plugged into your Mac currently besides its power cable? Does the issue remain also in a new test user: https://t.co/yoThHdqdHe Please keep us posted in DM here: https://t.co/GDrqU22YpT,,,,
1753236,"@AppleSupport Who gives a crap about the watch...Did you fix the ""I"" problem yet?",@626518 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
436464,Min iPhone6+ er blitt utrolig treg etter installering av #iOS11. Andre som sliter❓@AppleSupport #twitterhjelp,@218649 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,,
1067826,@AppleSupport why,@371982 We'd like to find out what's going on with the contacts on your device. Let's talk more in DM. https://t.co/GDrqU22YpT,,,,
2439739,@AppleSupport why am I not getting any notifications from messages or Snapchat specifically since I updated the newest iOS?,"@699755 We'd love to offer our help and make sure you are notified when you're contacted. Could you let us know which iOS version is showing in Settings &gt; General &gt; About &gt; Version? Also, let's confirm your settings are adjusted appropriately: https://t.co/2txgOv5s2M",,,,
1591091,@AppleSupport,@489157 We'd be happy to help out! Send us a DM with more details . https://t.co/GDrqU22YpT,,,,
1787922,"@483164 @AppleSupport Sometimes rotation lets me keep working. Yeah, https://t.co/zzIddrzvy9 is bad this way.","@250267 Thanks for that information. Have you tried any troubleshooting steps to fix it? Let us know in DM, and we can continue there. https://t.co/GDrqU22YpT",,,,
1404836,@AppleSupport Can i have official Facebook page link ?,@142826 Sure thing. Our Facebook link: https://t.co/9gF6E9Fs1o,,,,
2772677,"@116333 hi Tim, I love your products, including the iPhone X. But I have to say I’m really disappointed in #iOS11. All the glitches have really made me dislike iOS for the very first time since the first iPhone came out. Sincerely disappointed, Jay.",@200726 We'd like to help out with any issues you may be experiencing with iOS 11. Send us a DM and we'll take a closer look. https://t.co/GDrqU22YpT,,,,
1875807,@AppleSupport WHY DO MY APPS KEEP RESTARTING WHEN I DON'T MANUALLY CLOSE THEM!?!?,@559976 We'd be happy to take a look into this. Could you please send us a DM so we can gather some info and get started? https://t.co/GDrqU22YpT,,,,
1716599,@AppleSupport why are my iMessages delivering 5–10 minutes after I send them?,"@519820 There could be many reasons for it, but often times it's network related. Are you noticing this on WiFi, cellular, or both?",,,,
1469455,@AppleSupport can you PLEASE help me fix my Apple Music? It’s not opening at all anymore and I’ve tried everything short of wiping it clean and restoring it,@461059 We'd love to help you get connected to your music. What happens when you try launching Apple Music? Do you get any error messages? Please also tell us which device you're using with Apple Music.,,,,
2205820,Apple charges me $8.00 anytime I️ buy $5 credit from Rebtel @AppleSupport what’s up?,@644942 We'd recommend taking a look at this article: https://t.co/gRnqJCatPb and if you still need some assistance reach out to an iTunes Store Advisor here: https://t.co/SDIe7UiyJN,,,,
2510963,"@115858 I changed my Apple ID and I went to update my stuff but it brought up the old, disabled one that no longer functions. What do I do? https://t.co/lPx3wBuvTM","@715715 We can get you started here. Ordinarily, you would want to sign your Apple ID out of iCloud, the App Store, FaceTime, etc before you change the email address. You will need to speak with our Account Security group here: https://t.co/UJm15vmMM2",,,,
2205877,"@115858 how tf can you manage to create animojis that can detect the facial expressions that someone is making, and design a camera that takes professional pictures, yet you can’t fix this glitch that makes the letter I turn to I️","@644958 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",,,,
2277705,@662349 @115858 I hear that!!!!! Nothing has been right on mine since the iOS 11 updates😡,@668652 Thanks for reaching out. We've recieved your DM and will respond there shortly. https://t.co/GDrqU22YpT,,,,
2771814,"@AppleSupport A restart hasn’t worked it’s still happening every a few times a week, it’s a brand new phone and this shouldn’t be happening and I don’t know why it is :(",@774791 Understood. Do you know if you have a recent backup of your iPhone? Steps to locate backups: https://t.co/vU7gSUiOfd,,,,
2597124,Dear @AppleSupport we have moved on from I to now I.T?? I just want to write it. Please fix. Thanks,"@735327 We'd like to look into this with you. Send us a DM and let us know what version of iOS you have installed, and when you first noticed the behavior. We're here for you. https://t.co/GDrqU22YpT",,,,
2975671,@AppleSupport I’m having touch screen issues with my iPhone X. Every so often when I go to type or click somewhere towards the middle of my screen it’s unresponsive.,"@154900 Thanks for reaching out, we're happy to help. Do you notice this occurs more often in a specific app or any? Also, confirm the iOS you're iPhone is currently running and we'll continue.",,,,
989697,@AppleSupport iPhone 7 +,"@354447 Thanks. To make sure you get the help you need, let's have you work with our Photos experts: https://t.co/IBIY3vMgPj",,,,
890582,@AppleSupport can you tell me if I bought a certain digital movie within the last 11 years? I can’t find it.,@331452 You can check past purchases using the steps here: https://t.co/7LU2nj59FH,,,,
2920000,@AppleSupport I am unable to log into my Game Center account! I have tried WiFi and cellular. I have tried restarting my device. Nothing is working!,@584754 Let's look into this for you. What happens when you attempt to log into Game center? Let us know what you see in DM. https://t.co/GDrqU22YpT,,,,
1002970,Been waiting for the #iPhoneX but my phone been restarting in the middle of conversation @115858 #WhatsTheDeal #FixThis,@357413 We're here for you. Send us a DM with your current iPhone model and iOS version. We'll continue there. https://t.co/GDrqU22YpT,,,,
